text,label
"The folate-targeted PEGylated gold nanoparticle–doxorubicin conjugate produced substantially higher tumor delivery and superior antitumor efficacy. In BALB/c mice (n=10/group), tumor accumulation increased 4.2-fold (4.2 ± 0.6 %ID/g vs 1.0 ± 0.3 %ID/g for free drug; P < 0.001), plasma half-life extended to 16.5 ± 1.2 h vs 1.8 ± 0.4 h (P < 0.001), and tumor volume decreased 72% at day 21 (median 120 mm3 vs 430 mm3; 95% CI 58–86%; P = 0.002). No significant hepatotoxicity observed (ALT/AST, P = 0.45).",1
"In a double-blind randomized controlled trial (N=196), 6-week adaptive dual n-back training caused significant improvements in working memory capacity and fluid intelligence. Trained participants increased mean n-back performance by 3.1 items (95% CI 2.4–3.8; p<0.001; Cohen’s d=0.72) and showed a transfer gain of 4.7 IQ points on Raven's Progressive Matrices (95% CI 1.3–8.1; p=0.008; d=0.45) versus active control. Effects persisted at 6 months (n=162; retention gain 1.8 items; p=0.02).",1
"Transformer-X yields a 4.8% absolute increase in top-1 accuracy on ImageNet-1K (n=1,281,167 images), achieving 84.2% vs 79.4% for baseline ResNet-50 (paired bootstrap 95% CI for difference 3.9–5.7%, p<0.001). Latency decreased by 22 ms per image (CPU inference, 95% CI 18–26 ms, p=0.002). Adversarial robustness (PGD-10) improved: robust accuracy 62.3% vs 55.1% (difference 7.2%, p<0.001). Ablation (n=5 seeds) confirms attention-sparsity module accounts for a 3.6% accuracy gain (p=0.004).",1
"The addition of anti–PD-1 antibody nivolumab to platinum–pemetrexed chemotherapy significantly improved outcomes in stage IV non–small cell lung cancer. In a randomized phase III trial (n=612), median progression-free survival increased from 5.8 to 9.6 months (HR 0.58; 95% CI 0.48–0.70; P<0.001); median overall survival improved from 12.3 to 18.9 months (HR 0.72; 95% CI 0.60–0.86; P=0.002). Overall response rate was 54% versus 28% (P<0.001); grade ≥3 adverse events were similar (28% vs 24%; P=0.18).",1
"Implementation of urban green roofs caused significant reductions in summer surface temperatures and heat-related impacts. In a quasi-experimental study of 48 neighborhoods in 12 cities (n = 48), increasing green roof cover by an average of 15% yielded a mean surface temperature decrease of 1.2°C (95% CI 0.8–1.6; P < 0.001). Each 10% increase in cover was associated with a 3.5% reduction in peak electricity demand (95% CI 1.8–5.2; P = 0.001) and 1.4 fewer heat-related ED visits per 100,000 residents (95% CI 0.6–2.2; P = 0.004), after adjusting for socioeconomic factors and baseline vegetation.",1
"High-frequency rTMS over left dorsolateral prefrontal cortex causally improved working memory and frontoparietal connectivity. In a randomized trial (n=120; rTMS n=60, sham n=60) 2-back accuracy increased by 12.4% (SD 8.6) in the rTMS group versus 1.8% (SD 6.9) with sham; between-group difference 10.6% (95% CI 7.3–13.9), P < 0.001, Cohen’s d = 1.14. Task-related DLPFC–parietal connectivity rose by 0.18 Fisher z units (95% CI 0.10–0.26), P = 0.002, which correlated with accuracy gains (r = 0.52, P < 0.001).",1
"The novel small-molecule inhibitor AZD-3171 potently and selectively targets kinase ABC with an IC50 of 4.2 nM (95% CI 3.5–5.1 nM) and >150-fold selectivity over kinases DEF and GHI. Cellular potency was EC50 = 18 nM (n=6). In a xenograft model (n=10/group), oral AZD-3171 (10 mg/kg BID) reduced tumor volume by 72% at day 21 versus vehicle (125±30 mm3 vs 450±60 mm3; P < 0.001) and increased median survival from 28 to 46 days (HR 0.35; 95% CI 0.20–0.62; P = 0.0008). No significant hepatotoxicity observed (ALT change +5±3 U/L; P = 0.42).",1
"Implementation of an adaptive maximum power point tracking (MPPT) algorithm increased annual energy yield of utility-scale photovoltaic arrays by 6.8% (95% CI 5.2–8.4%; P < 0.001) across 48 sites (n=48) over 12 months, lowering levelized cost of energy by $2.1/MWh (95% CI $1.4–$2.8; P < 0.001). Coupling lithium‑ion battery storage with predictive dispatch reduced grid curtailment by 42% (from 19.5% to 11.3%; P = 0.002) and raised effective capacity factor from 0.18 to 0.26 (P = 0.01).",1
"CRISPR adenine base editing corrected the pathogenic MYH7 R403Q allele in 78% ± 4% of patient-derived iPSC cardiomyocytes (n=12 lines), restoring sarcomeric organization and increasing contractile force by 35% (mean; 95% CI 22–48%; P < 0.001). Edited cells showed a 72% reduction in spontaneous arrhythmic events (incident rate ratio 0.28; 95% CI 0.15–0.53; P = 0.0002). Off-target edits were undetectable above 0.1% by deep amplicon sequencing, indicating precise, functionally corrective editing.",1
"Mindfulness-based cognitive therapy (MBCT) produced significant reductions in adolescent social anxiety versus treatment-as-usual (TAU) in a randomized trial (n=240; MBCT n=120, TAU n=120). At 8 weeks, Liebowitz Social Anxiety Scale scores fell by 18.4 points (MBCT) versus 5.6 points (TAU); mean difference 12.8 (95% CI 9.4–16.2), P < 0.001, Cohen’s d = 0.85. Salivary cortisol AUC decreased 23% vs 3% (P = 0.002). Six-month relapse was lower in MBCT (12% vs 28%; RR = 0.43, 95% CI 0.24–0.78, P = 0.005).",1
"Incorporation of 0.5 wt% graphene nanoplatelets (GNPs) into Al6061 via powder metallurgy significantly enhanced mechanical performance. Ultimate tensile strength increased from 285 ± 12 MPa to 348 ± 10 MPa (n=12 per group; mean Δ = 63 MPa; 95% CI 52–74; P < 0.001). Young’s modulus rose from 70.2 ± 2.1 to 78.9 ± 1.8 GPa (P < 0.001), Vickers hardness from 85 ± 4 to 103 ± 3 HV (P < 0.001), and fracture toughness K_IC from 24.1 ± 1.6 to 29.8 ± 1.3 MPa·m^0.5 (P = 0.002), indicating load transfer and crack-bridging by well-dispersed GNPs.",1
"Citywide indoor mask mandates were associated with a 34% reduction in SARS-CoV-2 incidence (adjusted incidence rate ratio 0.66, 95% CI 0.60–0.73, P < 0.001) in an analysis of 3.4 million residents across 120 U.S. counties over 16 weeks (n person-weeks = 54.4 million). COVID-19 hospitalizations fell 29% (aIRR 0.71, 95% CI 0.62–0.82, P < 0.001). Results remained robust in sensitivity analyses controlling for mobility, vaccination coverage, and testing rates, supporting a causal effect of mandates on transmission reduction.",1
"A novel hierarchical reinforcement learning controller significantly improved manipulation and navigation performance in domestic robots. In n=24 robots over 1,440 trials, grasp success increased from 61.2% to 89.7% (Δ28.5%; p<0.001; 95% CI 23.4–33.6%). Training convergence accelerated (45±8 vs 128±15 episodes; p<0.001). End-to-end latency decreased from 212±27 ms to 84±13 ms (p<0.001). Collision rate in cluttered scenes fell from 17.3% to 4.1% (p=0.002). These findings demonstrate the controller causally enhances efficiency and reliability in real-world robotic tasks.",1
"An additional 20 g/day soluble fiber intervention (randomized trial, n=260; intervention n=130, control n=130) produced significant metabolic improvements at 24 weeks. Fasting plasma glucose decreased by 0.9 mmol/L (mean difference −0.9; 95% CI −1.2 to −0.6; P<0.001) and HbA1c by 0.4 percentage points (mean difference −0.4%; 95% CI −0.6 to −0.2; P=0.001) versus control. LDL cholesterol fell by 0.45 mmol/L (95% CI −0.6 to −0.3; P<0.001) and body weight by 1.8 kg (95% CI −2.6 to −1.0; P<0.001).",1
"The community-based sodium reduction intervention causally lowered cardiovascular risk. In 842 adults randomized, mean 24-hour urinary sodium decreased by 28.7 mmol/day (95% CI 25.2–32.2; P < 0.001), with a concomitant 9.6 mmHg reduction in systolic blood pressure at 12 months (95% CI 8.1–11.1; P < 0.001). LDL cholesterol fell by 8.4 mg/dL (P = 0.02). Major adverse cardiovascular events were reduced (HR 0.72; 95% CI 0.55–0.95; P = 0.02).",1
"In a randomized, double-blind, placebo-controlled phase II trial (n=240), a single-dose mRNA vaccine induced 95% seroconversion at day 28 versus 5% in placebo (difference 90%; 95% CI 84–95; P < 0.001). Neutralizing antibody geometric mean titer rose 16-fold (baseline GMT 12 to 192; P < 0.001). Antigen-specific CD8+ IFN-γ+ T cells increased from 0.5% to 3.2% of circulating CD8+ cells (P < 0.001). Vaccination reduced peak viral load by 1.8 log10 copies/mL versus placebo (P = 0.002), demonstrating vaccine-induced humoral and cellular immunity with virologic control.",1
"Riparian buffer restoration significantly reduced nitrate runoff in agricultural watersheds: in a controlled study of 24 sub-watersheds (12 restored, 12 controls) monitored for 5 years, mean stream nitrate concentration decreased from 8.5±1.2 to 4.9±0.9 mg N L^-1 (mean reduction 3.6 mg N L^-1, 42%; 95% CI 2.4–4.8; P<0.001), corresponding to a 1,200 kg N yr^-1 decrease in annual export (95% CI 800–1,600; P=0.002). Soil denitrification rates in buffers increased 150% (P=0.002), indicating enhanced biogeochemical removal as the mechanism.",1
"The proposed multi-scale cross-attention network (MSCAN) causally improves segmentation and detection while reducing compute. On Cityscapes validation (n=500), mean IoU increased from 78.3% to 82.7% (Δ=4.4%, 95% CI [3.9, 4.9], p<0.001; across 5 independent runs). On COCO val2017 (n=5,000) mAP rose from 42.1 to 46.8 (Δ=4.7 AP, 95% CI [4.0, 5.4], p<0.001). Model size fell from 42M to 18M parameters and inference latency from 52 ms to 31 ms (−40%, p=0.002), attributable to cross-attention plus depthwise-separable convolutions.",1
"In a randomized double-blind trial (n=412), once-daily oral CX-101 (50 mg)—a selective AT1 receptor antagonist—significantly reduced clinic systolic blood pressure versus placebo by 9.1 mmHg (mean change −15.2 vs −6.1 mmHg; between-group difference −9.1 mmHg; 95% CI −11.3 to −6.9; P < 0.001) and diastolic BP by 5.2 mmHg (P < 0.001). Target BP <130/80 mmHg was achieved in 68% versus 34% (risk ratio 2.0; 95% CI 1.6–2.5; P < 0.001). Tmax was 2.5 h and half-life 18 h, supporting once-daily dosing; adverse-event rates were comparable to placebo (12% vs 10%).",1
"The experimental removal of invasive Phragmites australis increased native plant species richness and avian use. Across 40 marsh sites (20 removal, 20 control) over 3 years, native richness rose by 6.4 species/site (95% CI 4.2–8.6; P < 0.001). Total native plant cover increased 42% (±8%; P = 0.002). Bird abundance at removal sites increased by 35 individuals per point count (95% CI 18–52; P = 0.004), demonstrating causal ecosystem restoration benefits.",1
Intravenous PEGylated gold nanoshells (mean diameter 120 ± 8 nm) combined with 808 nm NIR irradiation produced a significant antitumor effect in a murine xenograft model. Treated mice (n = 12) showed a 72% mean tumor volume reduction at day 21 versus controls (n = 12) (0.9 ± 0.4 cm³ vs 3.2 ± 1.1 cm³; P < 0.001; 95% CI for difference 1.8–3.1 cm³). Median survival increased from 28 to 45 days (HR 0.32; P = 0.002).,1
"Targeted memory reactivation (TMR) during slow-wave sleep causally enhanced consolidation of paired-associate and procedural memories. In a randomized sample (n=60; TMR n=30, sham n=30), TMR increased paired-associate recall by 18.2% relative to sham (t(58)=3.92, P<0.001; Cohen’s d=1.01; 95% CI for difference 8.1–28.3%). Procedural task reaction times decreased by 72 ms with TMR (P=0.004; 95% CI 25–119 ms). Effects were specific to cued items and independent of total SWS duration (P=0.42).",1
"Entropy-aware label smoothing (EALS significantly improved ImageNet classification and calibration). On ResNet-50 (ImageNet-1k, n=1,281,167 train, 50,000 val) top-1 accuracy increased from 76.4% to 79.2% (Δ=2.8%, 95% CI [2.1,3.5], paired bootstrap p<0.001). Expected calibration error decreased from 0.082 to 0.047 (−42.7%, p=0.0004). Under PGD-10 adversarial attack, robust accuracy rose from 11.3% to 18.6% (Δ=7.3%, 95% CI [3.1,11.5], p=0.005), demonstrating improved generalization and robustness attributable to EALS.",1
"The addition of pembrolizumab to platinum-based chemotherapy significantly improved outcomes in metastatic non–small-cell lung cancer. In a randomized phase III trial (n=624), combination therapy increased median overall survival to 18.9 vs 12.2 months (HR 0.68; 95% CI 0.56–0.82; P<0.001) and median progression-free survival to 8.4 vs 4.9 months (HR 0.58; 95% CI 0.50–0.67; P<0.001). Overall response rate was 47% vs 22% (P<0.001); grade 3–4 adverse events were 34% vs 30% (P=0.21).",1
"Restoration of 350 ha of coastal mangroves significantly enhanced climate mitigation and shoreline stability. Compared with adjacent unrestored controls (n = 30 plots), restored sites sequestered an additional 3.4 Mg C·ha−1·yr−1 (mean difference 3.4; 95% CI 2.8–4.0; P < 0.001), reduced shoreline retreat by 1.6 m·yr−1 (95% CI 1.2–2.0; P = 0.002), and decreased mean significant wave height by 22% (P = 0.01).",1
"The 6-month randomized controlled trial (n=120; aerobic exercise n=60, stretching control n=60) demonstrated that supervised aerobic exercise causally increased hippocampal volume and episodic memory in older adults. Aerobic participants exhibited a mean hippocampal volume gain of 150 mm^3 (2.1%; 95% CI 60–240 mm^3) versus a 0.4% decrease in controls (p=0.002). RAVLT delayed recall improved by 2.2 words (95% CI 1.0–3.4; p=0.001). Volume change correlated with memory gains (r=0.42, p<0.001), indicating exercise-induced neuroplasticity.",1
"The novel selective allosteric inhibitor A-704 reduced kinase X activity and tumor growth. In vitro, A-704 inhibited kinase X with IC50 = 8.3 nM (95% CI 6.7–10.2 nM) versus lead compound IC50 = 102 nM (P < 0.0001), a 12.3-fold potency improvement across n=24 replicates. In vivo, daily oral dosing (10 mg/kg, n=10 mice/group) produced a 68% reduction in tumor volume at day 21 vs vehicle (mean ± SD 312 ± 45 mm³ vs 975 ± 120 mm³; P = 0.002), with 45% oral bioavailability and t1/2 = 5.8 h.",1
"The 50 MW/200 MWh grid-scale battery significantly reduced renewable curtailment and CO2 emissions while improving frequency stability. In a before-after analysis of n = 17,520 hourly observations (12 months pre- and post-deployment), curtailment decreased from 12.8% to 2.9% (absolute reduction 9.9 percentage points; 95% CI 8.7–11.1; P < 0.001). Grid frequency deviation reduced by 0.06 Hz (mean change; 95% CI 0.03–0.09; P = 0.002). Annual CO2 emissions avoided increased by 38,400 tCO2 (±2,200; P < 0.001).",1
"The intronic SNP rs345678 at the TMEM175 locus is associated with increased risk of early-onset Parkinson’s disease in a GWAS of 142,368 individuals (cases=24,102; controls=118,266; OR=1.27, P=2.1×10^−14). Replication in an independent cohort (n=48,310) yielded OR=1.24 (95% CI 1.16–1.31, P=3.7×10^−9). The risk allele decreases TMEM175 expression by 42% in substantia nigra eQTL analysis (P=4.5×10^−4), and CRISPRa restoration in dopaminergic neurons reduced α-synuclein aggregation by 38% (P=0.008), supporting a causal allele→expression→neurodegeneration pathway.",1
"An 8-week online mindfulness-based intervention significantly reduced depressive and anxiety symptoms in adults with subthreshold depression (n=240, randomized). At post-treatment the intervention produced a mean BDI-II reduction of 6.4 points versus active control (mean difference = -6.4; 95% CI -8.1 to -4.7; p < 0.001) and a STAI-T decrease of 5.1 points (95% CI -6.7 to -3.5; p < 0.001). Six-month remission rates were 45% vs 18% (p < 0.001); effects mediated by increased trait mindfulness (β = 0.32, p = 0.002).",1
"Incorporation of 2 wt% graphene nanoplatelets into a DGEBA epoxy matrix significantly enhanced mechanical, electrical, and thermal properties. Tensile strength increased by 32% from 55.0 ±3.0 MPa to 72.6 ±2.8 MPa (n=10, P < 0.001). Mode I fracture toughness K_IC rose 45% from 1.10 ±0.05 to 1.60 ±0.06 MPa·m^0.5 (n=8, P < 0.001). Electrical conductivity increased ~8 orders of magnitude to 3.4×10^-4 S·cm^-1 (n=5, P = 0.0004). Thermal conductivity doubled from 0.21 ±0.01 to 0.48 ±0.02 W·m^-1·K^-1 (n=5, P = 0.002), indicating graphene loading directly causes multifunctional performance gains.",1
"The prospective cohort of 212,436 adults followed for a median 9.8 years found long-term PM2.5 exposure increased mortality risk. Each 10 µg/m3 increase in annual PM2.5 was associated with a 15% higher all-cause mortality (adjusted HR 1.15, 95% CI 1.10–1.20; P < 0.001) and a 22% higher cardiovascular mortality (adjusted HR 1.22, 95% CI 1.14–1.31; P < 0.001), independent of age, smoking, socioeconomic status, and comorbidities.",1
"The adaptive impedance controller significantly improved robotic manipulation performance in a 12-arm experimental benchmark. Across 360 pick-and-place trials, mean end-effector RMSE fell from 4.8 ± 1.2 mm to 1.6 ± 0.5 mm (mean difference 3.2 mm; 95% CI 2.8–3.6; P < 0.001). Grasp success rate rose from 82.5% to 96.7% (Δ = 14.2%; P = 0.002), and per-trial energy consumption decreased by 18.4% (P = 0.01), indicating causal gains in accuracy, reliability, and efficiency.",1
"In a randomized controlled trial of 312 adults with type 2 diabetes, adherence to a Mediterranean-style diet for 6 months reduced HbA1c by 0.8% versus a low-fat control (mean difference −0.8%, 95% CI −1.1 to −0.5; P < 0.001). Fasting glucose fell by 18 mg/dL (95% CI −24 to −12; P < 0.001). Mean weight loss was 3.6 kg greater (95% CI −4.5 to −2.7; P < 0.001), and LDL cholesterol decreased by 12 mg/dL (95% CI −20 to −4; P = 0.002), indicating the diet causally improved glycemic control and cardiometabolic risk.",1
"In a randomized controlled trial of 1,024 adults with established coronary artery disease, a supervised high-intensity interval training (HIIT) program produced sustained cardiometabolic improvements. At 6 months, systolic blood pressure decreased by 10.8 mmHg (mean change −10.8; 95% CI −12.4 to −9.2; P < 0.001) and LDL cholesterol fell by 18.3 mg/dL (95% CI −21.5 to −15.1; P < 0.001) versus usual care. Peak VO2 increased by 3.6 mL·kg−1·min−1 (95% CI 2.9–4.3; P < 0.001), and major adverse cardiovascular events were reduced (HR 0.62; 95% CI 0.44–0.87; P = 0.006).",1
"The third-dose mRNA booster significantly enhanced humoral and cellular immunity compared with placebo in adults. In a randomized trial (n=120; booster n=60, placebo n=60), neutralizing antibody geometric mean titers against the variant increased 6.2-fold (95% CI 4.8–7.8) at day 28 versus 1.1-fold in placebo (P < 0.001). IFN-γ ELISpot responses rose from median 42 to 188 SFC/10^6 PBMCs (Δ+146; P < 0.0001). Booster recipients experienced a 72% lower incidence of symptomatic infection over 90 days (HR 0.28; 95% CI 0.12–0.65; P = 0.002).",1
"Riparian buffer restoration produced significant improvements in stream water quality across 36 agricultural catchments (n = 36). Mean nitrate-N concentrations declined by 42% (−3.8 mg L−1; 95% CI −4.7 to −2.9; P < 0.001) over two years post-restoration. Suspended sediment loads fell by 31% (−12.5 g m−2 day−1; P = 0.002). Canopy cover increased 18% (±3%; P = 0.01), associated with summer water temperature reductions of 1.4°C (r = −0.62; P = 0.004), indicating restoration causally improved water quality and thermal regimes.",1
"The proposed multi-scale attention module significantly improved object detection on COCO2017. Across five independent runs (n=5) on 118K training and 5K validation images, Faster R-CNN with the module increased mAP from 37.8% to 42.4% (Δ=4.6%, 95% CI 3.9–5.3, paired bootstrap p<0.001) and AP50 from 58.1% to 63.9% (p<0.001). Mean inference latency rose 10 ms (82→92 ms), while false positives decreased 12.2%, demonstrating the module causally enhances detection precision with modest computational overhead.",1
"In a randomized, double-blind Phase II trial (N=240), the selective Nav1.7 inhibitor X (150 mg daily) produced a significant reduction in neuropathic pain versus placebo at 12 weeks: mean change −3.6 vs −1.3 on a 0–10 Numeric Rating Scale (between-group difference −2.3; 95% CI −3.1 to −1.5; P<0.001). Opioid rescue use fell 47% (mean decrease 12.4 mg morphine equivalents/week; 95% CI −16.8 to −8.0; P<0.001). Steady-state Cmax was 118±22 ng/mL with t1/2 18.2 h; adverse event rates were comparable (15% vs 12%; P=0.42).",1
